date,change,changeOverTime,changePercent,close,high,label,low,open,unadjustedVolume,volume,vwap
2014-06-10,0.74,-0.10380214101144326,0.613,121.39,121.47,"Jun 10, 14",121.21,121.29,3561677,3561677,121.3523
2014-06-11,0.02,-0.10365448504983384,0.016,121.41,121.61,"Jun 11, 14",121.18,121.51,3573593,3573593,121.4288
2014-06-12,1.23,-0.09457364341085263,1.013,122.64,122.75,"Jun 12, 14",121.83,121.92,7394697,7394697,122.4428
2014-06-13,0.32,-0.09221114802510148,0.261,122.96,123.036,"Jun 13, 14",122.51,122.57,4026822,4026822,122.742
2014-06-16,-0.54,-0.09619785898855658,-0.439,122.42,123.01,"Jun 16, 14",122.302,122.88,5833646,5833646,122.6964
2014-06-17,-0.14,-0.09723145071982273,-0.114,122.28,122.5,"Jun 17, 14",121.82,121.85,4035098,4035098,122.1493
2014-06-18,0.39,-0.09435215946843845,0.319,122.67,122.8,"Jun 18, 14",122.09,122.22,4604909,4604909,122.5123
2014-06-19,4.27,-0.06282761166482091,3.481,126.94,127.23,"Jun 19, 14",124.32,124.33,24374779,24374779,125.8338
2014-06-20,-0.44,-0.06607604282022879,-0.347,126.5,127.07,"Jun 20, 14",126.21,126.32,9955149,9955149,126.6059
2014-06-23,0.35,-0.06349206349206346,0.277,126.85,126.935,"Jun 23, 14",126.37,126.65,5142796,5142796,126.6834
2014-06-24,0.13,-0.06253229974160196,0.102,126.98,127.32,"Jun 24, 14",126.73,127.22,6355294,6355294,127.0501
2014-06-25,0.01,-0.0624584717607973,0.008,126.99,127.55,"Jun 25, 14",126.66,126.78,6695428,6695428,127.6003
2014-06-26,-0.26,-0.06437799926172008,-0.205,126.73,126.92,"Jun 26, 14",126.2,126.53,5531190,5531190,126.5898
2014-06-27,-0.07,-0.06489479512735322,-0.055,126.66,127.17,"Jun 27, 14",126.65,126.88,4200393,4200393,126.9139
